Year,State,FAH,FAFH,Total nominal food sales,FAH,FAFH,Total constant dollar food sales
2015,Idaho,"3,746.82","2,814.76","6,561.57","1,803.42","1,338.68","3,142.10"
2016,Idaho,"3,817.49","3,285.37","7,102.86","1,861.92","1,523.28","3,385.20"
2017,Idaho,"3,865.91","3,544.01","7,409.92","1,889.30","1,605.72","3,495.02"
2018,Idaho,"3,999.98","3,890.80","7,890.78","1,946.07","1,717.69","3,663.76"
2019,Idaho,"4,131.05","4,025.58","8,156.63","1,992.27","1,723.97","3,716.24"
2020,Idaho,"4,263.42","3,428.52","7,691.94","1,986.61","1,420.66","3,407.27"
1997,Illinois,"17,538.37","13,252.75","30,791.12","12,934.69","10,281.43","23,216.12"
1998,Illinois,"18,002.19","13,676.56","31,678.75","13,029.52","10,340.19","23,369.71"
1999,Illinois,"19,550.86","14,075.02","33,625.88","13,883.26","10,383.63","24,266.89"
2000,Illinois,"20,766.25","14,896.64","35,662.89","14,421.35","10,736.16","25,157.51"
2001,Illinois,"21,520.08","15,298.36","36,818.44","14,470.83","10,715.01","25,185.84"
2002,Illinois,"22,705.13","15,912.49","38,617.62","15,076.41","10,870.12","25,946.53"
2003,Illinois,"22,037.58","16,808.99","38,846.57","14,323.20","11,242.92","25,566.11"
2004,Illinois,"22,143.87","17,774.71","39,918.59","13,866.68","11,546.46","25,413.13"
2005,Illinois,"22,645.53","18,773.99","41,419.52","13,911.85","11,823.54","25,735.39"
2006,Illinois,"23,498.26","19,847.03","43,345.29","14,189.00","12,123.21","26,312.22"
2007,Illinois,"24,635.99","20,947.70","45,583.69","14,273.93","12,346.09","26,620.02"
2008,Illinois,"25,866.26","21,738.10","47,604.36","14,085.26","12,271.00","26,356.25"
2009,Illinois,"24,600.28","21,394.86","45,995.14","13,333.67","11,671.39","25,005.06"
2010,Illinois,"24,686.94","21,971.46","46,658.41","13,336.50","11,835.29","25,171.79"
2011,Illinois,"26,642.71","23,102.00","49,744.71","13,733.54","12,159.95","25,893.48"
2012,Illinois,"28,103.99","24,543.40","52,647.39","14,138.45","12,561.19","26,699.64"
2013,Illinois,"27,837.95","25,869.27","53,707.22","13,879.16","12,962.94","26,842.10"
2014,Illinois,"26,971.34","27,210.76","54,182.11","13,133.35","13,311.34","26,444.69"
2015,Illinois,"26,493.35","29,662.21","56,155.56","12,751.80","14,107.16","26,858.96"
2016,Illinois,"26,136.62","31,147.42","57,284.04","12,747.70","14,441.67","27,189.38"
2017,Illinois,"26,298.54","33,002.77","59,301.31","12,852.26","14,952.94","27,805.20"
2018,Illinois,"26,973.81","34,295.27","61,269.08","13,123.31","15,140.52","28,263.84"
2019,Illinois,"27,764.04","35,758.11","63,522.15","13,389.67","15,313.59","28,703.26"
2020,Illinois,"30,215.44","32,114.45","62,329.89","14,079.36","13,307.09","27,386.45"
1997,Indiana,"7,389.41","6,317.69","13,707.10","5,449.75","4,901.24","10,350.99"
1998,Indiana,"7,462.03","6,457.20","13,919.23","5,400.83","4,881.98","10,282.80"
1999,Indiana,"7,948.91","6,793.10","14,742.01","5,644.60","5,011.51","10,656.11"
2000,Indiana,"8,107.20","7,189.14","15,296.35","5,630.14","5,181.29","10,811.43"
2001,Indiana,"8,082.34","7,293.87","15,376.21","5,434.84","5,108.65","10,543.49"
2002,Indiana,"8,457.64","7,570.78","16,028.42","5,615.95","5,171.74","10,787.69"
2003,Indiana,"9,232.60","8,016.58","17,249.18","6,000.67","5,362.00","11,362.67"
2004,Indiana,"9,625.03","8,424.02","18,049.05","6,027.28","5,472.24","11,499.52"
2005,Indiana,"10,375.66","8,795.53","19,171.19","6,374.09","5,539.28","11,913.36"
2006,Indiana,"11,326.89","9,256.18","20,583.08","6,839.54","5,653.98","12,493.52"
2007,Indiana,"12,007.19","9,711.97","21,719.16","6,956.89","5,724.01","12,680.90"
2008,Indiana,"12,255.80","10,039.29","22,295.09","6,673.79","5,667.11","12,340.90"
2009,Indiana,"11,722.92","10,041.45","21,764.38","6,353.98","5,477.84","11,831.82"
2010,Indiana,"11,997.59","10,112.19","22,109.78","6,481.40","5,447.10","11,928.50"
2011,Indiana,"12,287.47","10,507.19","22,794.66","6,333.83","5,530.56","11,864.39"
2012,Indiana,"13,164.68","10,979.03","24,143.71","6,622.84","5,619.01","12,241.85"
2013,Indiana,"13,474.31","11,605.50","25,079.82","6,717.89","5,815.45","12,533.34"
2014,Indiana,"14,324.59","12,432.72","26,757.31","6,975.18","6,082.01","13,057.19"
2015,Indiana,"14,439.58","13,518.50","27,958.08","6,950.07","6,429.31","13,379.38"
2016,Indiana,"14,861.29","14,405.06","29,266.36","7,248.35","6,678.99","13,927.34"
2017,Indiana,"15,645.79","15,232.60","30,878.40","7,646.20","6,901.61","14,547.81"
2018,Indiana,"16,364.50","16,273.27","32,637.76","7,961.66","7,184.25","15,145.91"
2019,Indiana,"16,926.27","17,002.90","33,929.17","8,162.98","7,281.58","15,444.55"
2020,Indiana,"18,054.04","14,959.46","33,013.50","8,412.56","6,198.67","14,611.23"
1997,Iowa,"4,548.89","2,553.17","7,102.07","3,354.84","1,980.74","5,335.59"
1998,Iowa,"4,659.59","2,655.52","7,315.11","3,372.49","2,007.71","5,380.20"
1999,Iowa,"4,879.81","2,754.64","7,634.45","3,465.20","2,032.19","5,497.40"
2000,Iowa,"4,866.56","2,978.07","7,844.63","3,379.64","2,146.32","5,525.96"
2001,Iowa,"5,001.94","3,138.86","8,140.80","3,363.48","2,198.46","5,561.94"
2002,Iowa,"4,984.18","3,223.30","8,207.47","3,309.54","2,201.89","5,511.43"
2003,Iowa,"5,140.62","3,402.14","8,542.76","3,341.11","2,275.57","5,616.68"
2004,Iowa,"5,551.65","3,650.20","9,201.85","3,476.49","2,371.17","5,847.66"
2005,Iowa,"5,897.83","3,791.70","9,689.53","3,623.22","2,387.95","6,011.17"
2006,Iowa,"6,220.06","3,998.18","10,218.24","3,755.87","2,442.22","6,198.09"
2007,Iowa,"6,607.22","4,190.12","10,797.34","3,828.18","2,469.56","6,297.74"
2008,Iowa,"6,430.68","4,280.26","10,710.94","3,501.77","2,416.17","5,917.95"
2009,Iowa,"6,161.46","4,176.02","10,337.48","3,339.59","2,278.11","5,617.70"
2010,Iowa,"6,092.39","4,278.40","10,370.79","3,291.26","2,304.63","5,595.89"
2011,Iowa,"6,263.78","4,525.08","10,788.86","3,228.80","2,381.82","5,610.61"
2012,Iowa,"6,583.95","4,782.82","11,366.76","3,312.23","2,447.82","5,760.05"
2013,Iowa,"6,780.81","5,072.15","11,852.96","3,380.70","2,541.63","5,922.33"
2014,Iowa,"7,020.80","5,532.02","12,552.82","3,418.69","2,706.23","6,124.92"
2015,Iowa,"7,100.15","5,976.74","13,076.90","3,417.45","2,842.50","6,259.95"
2016,Iowa,"7,475.63","6,595.52","14,071.15","3,646.12","3,058.05","6,704.16"
2017,Iowa,"7,899.15","7,166.43","15,065.58","3,860.37","3,246.98","7,107.34"
2018,Iowa,"9,310.64","7,808.75","17,119.39","4,529.82","3,447.37","7,977.19"
2019,Iowa,"9,806.81","8,136.84","17,943.65","4,729.50","3,484.64","8,214.14"
2020,Iowa,"11,147.26","7,022.95","18,170.22","5,194.24","2,910.06","8,104.31"
1997,Kansas,"3,597.04","2,619.39","6,216.43","2,652.84","2,032.12","4,684.96"
1998,Kansas,"3,643.22","2,783.17","6,426.39","2,636.87","2,104.22","4,741.09"
1999,Kansas,"3,851.00","2,921.83","6,772.83","2,734.64","2,155.53","4,890.17"
2000,Kansas,"3,988.83","3,123.95","7,112.78","2,770.09","2,251.46","5,021.55"
2001,Kansas,"4,163.58","3,249.93","7,413.50","2,799.73","2,276.26","5,075.99"
2002,Kansas,"3,960.05","3,452.31","7,412.36","2,629.51","2,358.33","4,987.84"
2003,Kansas,"4,377.93","3,657.78","8,035.70","2,845.41","2,446.55","5,291.96"
2004,Kansas,"4,687.52","3,695.18","8,382.71","2,935.37","2,400.39","5,335.76"
2005,Kansas,"5,146.68","3,801.73","8,948.41","3,161.76","2,394.27","5,556.03"
2006,Kansas,"5,444.64","3,991.66","9,436.30","3,287.65","2,438.24","5,725.89"
2007,Kansas,"5,659.86","4,187.78","9,847.64","3,279.29","2,468.18","5,747.47"
2008,Kansas,"5,784.89","4,331.65","10,116.54","3,150.12","2,445.18","5,595.30"
2009,Kansas,"5,589.39","4,199.64","9,789.03","3,029.52","2,291.00","5,320.52"
2010,Kansas,"5,622.76","4,281.68","9,904.44","3,037.55","2,306.40","5,343.95"
2011,Kansas,"5,844.99","4,537.27","10,382.26","3,012.92","2,388.23","5,401.15"
2012,Kansas,"6,248.37","4,845.42","11,093.79","3,143.41","2,479.86","5,623.27"
2013,Kansas,"6,467.26","5,136.36","11,603.63","3,224.38","2,573.80","5,798.18"
2014,Kansas,"6,842.30","5,419.47","12,261.77","3,331.77","2,651.17","5,982.94"
2015,Kansas,"6,945.50","5,799.38","12,744.88","3,343.02","2,758.15","6,101.16"
2016,Kansas,"7,086.06","6,085.28","13,171.34","3,456.11","2,821.47","6,277.58"
2017,Kansas,"7,407.06","6,529.73","13,936.80","3,619.88","2,958.50","6,578.38"
2018,Kansas,"7,682.36","6,934.29","14,616.65","3,737.63","3,061.32","6,798.95"
2019,Kansas,"8,044.25","7,176.98","15,221.24","3,879.47","3,073.58","6,953.05"
2020,Kansas,"8,664.00","6,161.98","14,825.98","4,037.13","2,553.30","6,590.43"
1997,Kentucky,"5,203.14","4,200.91","9,404.05","3,837.36","3,259.05","7,096.40"
1998,Kentucky,"5,448.24","4,328.81","9,777.05","3,943.30","3,272.81","7,216.10"
1999,Kentucky,"5,924.97","4,539.66","10,464.63","4,207.38","3,349.07","7,556.44"
2000,Kentucky,"6,117.07","4,628.86","10,745.92","4,248.07","3,336.06","7,584.13"
2001,Kentucky,"6,283.25","4,721.75","11,005.01","4,225.07","3,307.13","7,532.20"
2002,Kentucky,"6,327.81","4,849.36","11,177.17","4,201.72","3,312.69","7,514.41"
2003,Kentucky,"6,808.60","5,097.02","11,905.62","4,425.21","3,409.21","7,834.42"
2004,Kentucky,"7,495.48","5,451.15","12,946.63","4,693.73","3,541.07","8,234.80"
2005,Kentucky,"8,096.47","5,827.26","13,923.73","4,973.91","3,669.91","8,643.82"
2006,Kentucky,"8,678.63","6,187.49","14,866.13","5,240.44","3,779.52","9,019.96"
2007,Kentucky,"9,209.48","6,447.31","15,656.79","5,335.91","3,799.89","9,135.80"
2008,Kentucky,"9,416.46","6,488.07","15,904.54","5,127.66","3,662.47","8,790.13"
2009,Kentucky,"8,918.77","6,453.99","15,372.76","4,834.09","3,520.80","8,354.89"
2010,Kentucky,"9,198.62","6,660.08","15,858.70","4,969.32","3,587.56","8,556.89"
2011,Kentucky,"9,627.38","7,078.95","16,706.33","4,962.63","3,726.07","8,688.70"
2012,Kentucky,"10,282.56","7,502.41","17,784.97","5,172.91","3,839.70","9,012.61"
2013,Kentucky,"10,299.36","7,951.66","18,251.02","5,134.95","3,984.53","9,119.48"
2014,Kentucky,"10,474.17","8,670.82","19,144.99","5,100.26","4,241.71","9,341.97"
2015,Kentucky,"10,593.06","9,237.54","19,830.60","5,098.66","4,393.32","9,491.98"
2016,Kentucky,"10,777.86","9,849.92","20,627.78","5,256.72","4,566.97","9,823.69"
2017,Kentucky,"11,101.19","10,323.82","21,425.00","5,425.22","4,677.53","10,102.75"
2018,Kentucky,"11,447.14","10,723.08","22,170.22","5,569.27","4,733.98","10,303.25"
2019,Kentucky,"11,775.37","11,161.30","22,936.68","5,678.87","4,779.88","10,458.75"
2020,Kentucky,"12,496.64","9,633.05","22,129.69","5,823.00","3,991.60","9,814.60"
1997,Louisiana,"6,827.81","4,533.81","11,361.63","5,035.57","3,517.31","8,552.88"
1998,Louisiana,"6,696.80","4,813.87","11,510.67","4,846.97","3,639.54","8,486.51"
1999,Louisiana,"6,734.36","5,022.58","11,756.94","4,782.13","3,705.33","8,487.46"
2000,Louisiana,"6,200.15","5,512.13","11,712.28","4,305.76","3,972.65","8,278.41"
2001,Louisiana,"6,290.25","5,583.22","11,873.47","4,229.78","3,910.50","8,140.28"
2002,Louisiana,"6,295.69","5,671.97","11,967.66","4,180.40","3,874.63","8,055.02"
2003,Louisiana,"6,691.09","6,024.46","12,715.55","4,348.83","4,029.54","8,378.38"
2004,Louisiana,"7,179.46","6,517.37","13,696.84","4,495.84","4,233.69","8,729.53"
2005,Louisiana,"7,850.04","7,016.62","14,866.66","4,822.52","4,418.95","9,241.47"
2006,Louisiana,"8,486.88","7,486.63","15,973.51","5,124.65","4,573.08","9,697.73"
2007,Louisiana,"8,739.15","7,839.95","16,579.10","5,063.40","4,620.68","9,684.09"
2008,Louisiana,"9,131.64","7,924.70","17,056.35","4,972.56","4,473.44","9,446.00"
2009,Louisiana,"8,442.68","7,636.17","16,078.85","4,576.04","4,165.70","8,741.75"
2010,Louisiana,"9,002.15","8,045.40","17,047.55","4,863.19","4,333.79","9,196.97"
2011,Louisiana,"9,642.78","8,514.88","18,157.65","4,970.57","4,481.88","9,452.45"
2012,Louisiana,"10,407.87","9,093.69","19,501.57","5,235.95","4,654.11","9,890.06"
2013,Louisiana,"10,167.75","9,566.09","19,733.83","5,069.33","4,793.51","9,862.84"
2014,Louisiana,"10,418.34","10,529.43","20,947.78","5,073.08","5,150.94","10,224.01"
2015,Louisiana,"10,121.43","11,320.28","21,441.71","4,871.66","5,383.85","10,255.51"
2016,Louisiana,"10,043.94","11,865.78","21,909.72","4,898.77","5,501.64","10,400.40"
2017,Louisiana,"10,172.68","12,441.79","22,614.47","4,971.45","5,637.14","10,608.59"
2018,Louisiana,"10,771.59","13,184.05","23,955.64","5,240.60","5,820.44","11,061.03"
2019,Louisiana,"10,715.07","13,446.74","24,161.81","5,167.52","5,758.63","10,926.15"
2020,Louisiana,"11,171.01","11,361.97","22,532.98","5,205.31","4,708.00","9,913.31"
1997,Maine,"2,241.43","1,457.47","3,698.89","1,653.07","1,130.70","2,783.76"
1998,Maine,"2,327.69","1,538.94","3,866.63","1,684.72","1,163.52","2,848.24"
1999,Maine,"2,480.34","1,603.79","4,084.13","1,761.31","1,183.17","2,944.49"
2000,Maine,"2,744.39","1,696.15","4,440.54","1,905.87","1,222.43","3,128.31"
2001,Maine,"2,796.75","1,799.28","4,596.03","1,880.63","1,260.22","3,140.85"
2002,Maine,"2,850.78","1,851.81","4,702.58","1,892.94","1,265.00","3,157.95"
2003,Maine,"2,818.91","1,856.84","4,675.75","1,832.13","1,241.97","3,074.10"
2004,Maine,"2,858.68","1,991.94","4,850.63","1,790.13","1,293.97","3,084.10"
2005,Maine,"3,031.69","1,996.35","5,028.04","1,862.46","1,257.27","3,119.73"
2006,Maine,"3,131.19","2,122.46","5,253.65","1,890.72","1,296.47","3,187.18"
2007,Maine,"3,334.50","2,223.54","5,558.04","1,931.99","1,310.50","3,242.49"
2008,Maine,"3,414.78","2,247.50","5,662.28","1,859.49","1,268.70","3,128.19"
2009,Maine,"3,237.71","2,102.20","5,339.91","1,754.88","1,146.80","2,901.68"
2010,Maine,"3,227.07","2,136.08","5,363.15","1,743.35","1,150.63","2,893.98"
2011,Maine,"3,364.59","2,226.18","5,590.76","1,734.35","1,171.77","2,906.11"
2012,Maine,"3,574.99","2,363.62","5,938.60","1,798.49","1,209.69","3,008.18"
2013,Maine,"3,707.46","2,522.32","6,229.78","1,848.42","1,263.92","3,112.35"
2014,Maine,"3,911.73","2,763.28","6,675.01","1,904.77","1,351.78","3,256.55"
2015,Maine,"3,967.45","3,014.57","6,982.02","1,909.62","1,433.71","3,343.33"
2016,Maine,"4,110.42","3,239.31","7,349.73","2,004.79","1,501.92","3,506.71"
2017,Maine,"4,467.41","3,551.80","8,019.20","2,183.25","1,609.25","3,792.50"
2018,Maine,"4,633.55","3,688.95","8,322.50","2,254.32","1,628.58","3,882.90"
2019,Maine,"4,826.77","3,902.48","8,729.25","2,327.79","1,671.26","3,999.05"
2020,Maine,"5,185.05","3,303.16","8,488.21","2,416.05","1,368.71","3,784.77"
1997,Maryland,"8,159.46","5,459.71","13,619.17","6,017.67","4,235.62","10,253.29"
1998,Maryland,"8,169.99","5,739.24","13,909.23","5,913.23","4,339.16","10,252.39"
1999,Maryland,"8,571.53","5,987.43","14,558.96","6,086.72","4,417.14","10,503.86"
2000,Maryland,"8,880.27","6,334.67","15,214.94","6,167.00","4,565.46","10,732.46"
2001,Maryland,"9,145.34","6,576.45","15,721.79","6,149.64","4,606.16","10,755.80"
2002,Maryland,"9,288.22","6,933.11","16,221.33","6,167.46","4,736.13","10,903.59"
2003,Maryland,"9,819.76","7,564.05","17,383.82","6,382.30","5,059.32","11,441.62"
2004,Maryland,"10,436.15","8,216.92","18,653.07","6,535.20","5,337.71","11,872.92"
2005,Maryland,"11,041.07","8,836.47","19,877.54","6,782.87","5,565.05","12,347.92"
2006,Maryland,"11,537.56","9,442.02","20,979.58","6,966.75","5,767.49","12,734.24"
2007,Maryland,"12,573.50","10,050.04","22,623.54","7,285.00","5,923.26","13,208.26"
2008,Maryland,"13,395.03","10,517.53","23,912.55","7,294.15","5,937.07","13,231.22"
2009,Maryland,"12,802.76","10,285.29","23,088.05","6,939.26","5,610.86","12,550.12"
2010,Maryland,"12,865.57","10,436.94","23,302.50","6,950.30","5,622.03","12,572.33"
2011,Maryland,"13,765.46","11,126.20","24,891.66","7,095.69","5,856.38","12,952.07"
2012,Maryland,"14,286.89","11,785.45","26,072.34","7,187.40","6,031.73","13,219.13"
2013,Maryland,"14,117.65","12,410.06","26,527.71","7,038.63","6,218.61","13,257.25"
2014,Maryland,"14,837.63","13,666.12","28,503.75","7,224.99","6,685.38","13,910.37"
2015,Maryland,"14,862.95","14,916.80","29,779.75","7,153.85","7,094.33","14,248.18"
2016,Maryland,"15,361.67","16,237.51","31,599.18","7,492.40","7,528.61","15,021.01"
2017,Maryland,"15,321.32","17,280.27","32,601.59","7,487.63","7,829.36","15,316.99"
2018,Maryland,"15,837.80","18,337.21","34,175.00","7,705.41","8,095.43","15,800.84"
2019,Maryland,"16,401.81","18,818.25","35,220.06","7,910.04","8,059.01","15,969.05"
2020,Maryland,"18,057.85","16,102.25","34,160.10","8,414.34","6,672.20","15,086.54"
1997,Massachusetts,"8,099.17","7,136.00","15,235.16","5,973.20","5,536.08","11,509.28"
1998,Massachusetts,"8,116.23","7,500.52","15,616.74","5,874.31","5,670.78","11,545.10"
1999,Massachusetts,"8,546.34","7,777.45","16,323.79","6,068.84","5,737.69","11,806.54"
2000,Massachusetts,"8,889.26","8,379.75","17,269.01","6,173.25","6,039.37","12,212.61"
2001,Massachusetts,"9,727.71","8,679.02","18,406.72","6,541.24","6,078.81","12,620.04"
2002,Massachusetts,"9,824.00","9,005.80","18,829.80","6,523.22","6,152.03","12,675.25"
2003,Massachusetts,"10,048.20","9,518.87","19,567.07","6,530.77","6,366.83","12,897.59"
2004,Massachusetts,"10,522.05","10,131.64","20,653.69","6,588.99","6,581.52","13,170.51"
2005,Massachusetts,"10,891.86","10,681.73","21,573.59","6,691.21","6,727.17","13,418.38"
2006,Massachusetts,"11,178.24","11,395.79","22,574.03","6,749.78","6,960.92","13,710.70"
2007,Massachusetts,"11,837.17","11,973.84","23,811.01","6,858.37","7,057.10","13,915.48"
2008,Massachusetts,"12,526.55","12,272.77","24,799.32","6,821.23","6,927.89","13,749.12"
2009,Massachusetts,"12,228.36","12,090.61","24,318.97","6,627.93","6,595.71","13,223.64"
2010,Massachusetts,"12,506.08","12,361.38","24,867.46","6,756.10","6,658.66","13,414.76"
2011,Massachusetts,"12,968.03","13,114.30","26,082.33","6,684.64","6,902.83","13,587.47"
2012,Massachusetts,"13,818.72","13,890.98","27,709.70","6,951.87","7,109.33","14,061.20"
2013,Massachusetts,"14,314.51","14,712.76","29,027.27","7,136.78","7,372.48","14,509.26"
2014,Massachusetts,"15,117.07","15,638.18","30,755.25","7,361.06","7,650.10","15,011.16"
2015,Massachusetts,"15,424.08","17,229.05","32,653.13","7,423.93","8,194.03","15,617.96"
2016,Massachusetts,"15,941.42","18,275.33","34,216.75","7,775.16","8,473.46","16,248.62"
2017,Massachusetts,"16,670.72","19,445.85","36,116.57","8,147.09","8,810.55","16,957.64"
2018,Massachusetts,"16,921.30","20,302.51","37,223.81","8,232.56","8,963.06","17,195.62"
2019,Massachusetts,"17,583.82","20,845.23","38,429.05","8,480.09","8,927.08","17,407.16"
2020,Massachusetts,"18,775.23","17,955.88","36,731.11","8,748.62","7,440.28","16,188.90"
1997,Michigan,"11,673.22","9,583.18","21,256.40","8,609.09","7,434.60","16,043.69"
1998,Michigan,"12,173.90","9,883.00","22,056.90","8,811.15","7,472.06","16,283.21"
1999,Michigan,"12,939.31","10,193.13","23,132.44","9,188.33","7,519.83","16,708.16"
2000,Michigan,"13,462.92","10,620.36","24,083.28","9,349.47","7,654.20","17,003.67"
2001,Michigan,"13,960.52","10,798.23","24,758.75","9,387.52","7,563.11","16,950.63"
2002,Michigan,"14,103.09","11,097.14","25,200.23","9,364.58","7,580.66","16,945.24"
2003,Michigan,"14,724.54","11,639.70","26,364.24","9,570.13","7,785.37","17,355.50"
2004,Michigan,"14,656.56","12,426.10","27,082.66","9,178.06","8,071.99","17,250.05"
2005,Michigan,"14,872.84","12,957.57","27,830.41","9,136.84","8,160.46","17,297.30"
2006,Michigan,"15,421.92","13,501.46","28,923.38","9,312.25","8,247.13","17,559.38"
2007,Michigan,"16,011.38","14,225.52","30,236.90","9,276.89","8,384.19","17,661.07"
2008,Michigan,"16,239.07","14,581.72","30,820.79","8,842.85","8,231.27","17,074.13"
2009,Michigan,"16,025.47","14,284.57","30,310.04","8,686.01","7,792.56","16,478.57"
2010,Michigan,"16,537.73","14,573.55","31,111.29","8,934.10","7,850.28","16,784.38"
2011,Michigan,"17,128.28","15,285.50","32,413.77","8,829.13","8,045.66","16,874.79"
2012,Michigan,"18,449.96","16,112.73","34,562.70","9,281.74","8,246.41","17,528.15"
2013,Michigan,"19,056.58","16,959.79","36,016.37","9,501.04","8,498.45","17,999.49"
2014,Michigan,"20,308.14","17,810.19","38,118.33","9,888.78","8,712.64","18,601.42"
2015,Michigan,"20,858.57","19,286.72","40,145.29","10,039.67","9,172.64","19,212.31"
2016,Michigan,"21,621.42","20,516.21","42,137.63","10,545.49","9,512.46","20,057.95"
2017,Michigan,"22,715.63","21,799.61","44,515.23","11,101.27","9,876.99","20,978.27"
2018,Michigan,"23,271.96","22,794.36","46,066.32","11,322.29","10,063.15","21,385.44"
2019,Michigan,"24,028.46","23,318.85","47,347.31","11,588.12","9,986.41","21,574.54"
2020,Michigan,"25,131.47","19,930.05","45,061.52","11,710.40","8,258.31","19,968.71"
1997,Minnesota,"7,076.91","4,886.77","11,963.68","5,219.28","3,791.14","9,010.42"
1998,Minnesota,"7,085.97","5,074.61","12,160.57","5,128.64","3,836.67","8,965.30"
1999,Minnesota,"7,630.62","5,473.61","13,104.23","5,418.58","4,038.07","9,456.65"
2000,Minnesota,"7,874.50","5,823.87","13,698.37","5,468.53","4,197.32","9,665.86"
2001,Minnesota,"8,234.67","6,079.03","14,313.70","5,537.27","4,257.77","9,795.04"
2002,Minnesota,"8,047.62","6,334.86","14,382.48","5,343.69","4,327.46","9,671.15"
2003,Minnesota,"8,578.56","6,637.39","15,215.94","5,575.58","4,439.50","10,015.09"
2004,Minnesota,"8,614.05","6,916.76","15,530.80","5,394.19","4,493.13","9,887.31"
2005,Minnesota,"9,175.87","7,174.75","16,350.62","5,637.02","4,518.54","10,155.55"
2006,Minnesota,"9,328.00","7,515.14","16,843.13","5,632.54","4,590.49","10,223.03"
2007,Minnesota,"9,856.46","7,900.85","17,757.31","5,710.77","4,656.58","10,367.35"
2008,Minnesota,"10,930.92","8,093.23","19,024.16","5,952.34","4,568.57","10,520.91"
2009,Minnesota,"10,828.34","8,060.69","18,889.02","5,869.10","4,397.29","10,266.39"
2010,Minnesota,"11,108.94","8,185.39","19,294.34","6,001.33","4,409.20","10,410.52"
2011,Minnesota,"11,920.21","8,778.17","20,698.38","6,144.52","4,620.47","10,764.99"
2012,Minnesota,"13,006.98","9,301.31","22,308.30","6,543.50","4,760.36","11,303.87"
2013,Minnesota,"12,726.62","9,835.25","22,561.87","6,345.11","4,928.39","11,273.50"
2014,Minnesota,"12,953.94","10,644.67","23,598.61","6,307.75","5,207.31","11,515.06"
2015,Minnesota,"12,719.62","11,562.42","24,282.04","6,122.22","5,499.01","11,621.23"
2016,Minnesota,"12,928.17","12,542.14","25,470.31","6,305.50","5,815.23","12,120.74"
2017,Minnesota,"13,663.41","13,267.00","26,930.41","6,677.40","6,011.03","12,688.43"
2018,Minnesota,"14,075.21","14,244.84","28,320.05","6,847.88","6,288.75","13,136.63"
2019,Minnesota,"14,717.20","15,234.34","29,951.54","7,097.62","6,524.18","13,621.80"
2020,Minnesota,"15,943.59","12,399.42","28,343.01","7,429.17","5,137.88","12,567.05"
1997,Mississippi,"3,448.19","2,200.12","5,648.31","2,543.06","1,706.85","4,249.91"
1998,Mississippi,"3,555.29","2,348.08","5,903.37","2,573.23","1,775.27","4,348.50"
1999,Mississippi,"3,785.58","2,473.19","6,258.77","2,688.18","1,824.56","4,512.74"
2000,Mississippi,"4,075.95","2,748.37","6,824.32","2,830.59","1,980.78","4,811.37"
2001,Mississippi,"4,129.62","2,785.12","6,914.74","2,776.89","1,950.70","4,727.60"
2002,Mississippi,"4,182.97","2,857.54","7,040.51","2,777.53","1,952.04","4,729.57"
2003,Mississippi,"4,348.95","2,977.99","7,326.94","2,826.57","1,991.87","4,818.44"
2004,Mississippi,"4,600.70","3,254.53","7,855.24","2,881.00","2,114.15","4,995.15"
2005,Mississippi,"4,956.95","3,414.89","8,371.84","3,045.21","2,150.64","5,195.85"
2006,Mississippi,"5,267.25","3,593.10","8,860.35","3,180.53","2,194.78","5,375.32"
2007,Mississippi,"5,323.79","3,741.95","9,065.73","3,084.57","2,205.42","5,289.98"
2008,Mississippi,"5,279.18","3,815.47","9,094.65","2,874.73","2,153.81","5,028.54"
2009,Mississippi,"4,962.61","3,702.46","8,665.08","2,689.80","2,019.78","4,709.58"
2010,Mississippi,"5,231.29","3,767.22","8,998.52","2,826.07","2,029.28","4,855.35"
2011,Mississippi,"5,394.36","4,004.92","9,399.28","2,780.63","2,108.03","4,888.66"
2012,Mississippi,"5,731.62","4,230.78","9,962.40","2,883.44","2,165.29","5,048.73"
2013,Mississippi,"5,670.75","4,438.50","10,109.25","2,827.26","2,224.11","5,051.37"
2014,Mississippi,"5,662.25","4,850.65","10,512.91","2,757.16","2,372.91","5,130.07"
2015,Mississippi,"5,615.18","5,251.87","10,867.05","2,702.70","2,497.76","5,200.46"
2016,Mississippi,"5,676.14","5,512.95","11,189.09","2,768.44","2,556.11","5,324.55"
2017,Mississippi,"5,833.86","5,790.83","11,624.69","2,851.05","2,623.71","5,474.76"
2018,Mississippi,"5,998.02","6,081.52","12,079.54","2,918.16","2,684.84","5,603.00"
2019,Mississippi,"5,979.81","6,046.03","12,025.84","2,883.86","2,589.24","5,473.11"
2020,Mississippi,"6,330.81","5,295.80","11,626.61","2,949.94","2,194.39","5,144.33"
1997,Missouri,"7,312.79","5,930.92","13,243.71","5,393.24","4,601.18","9,994.43"
1998,Missouri,"7,256.24","6,252.35","13,508.59","5,251.88","4,727.10","9,978.98"
1999,Missouri,"7,428.95","6,976.85","14,405.80","5,275.37","5,147.07","10,422.44"
2000,Missouri,"7,594.93","7,140.64","14,735.58","5,274.38","5,146.33","10,420.72"
2001,Missouri,"7,848.65","7,232.42","15,081.06","5,277.69","5,065.60","10,343.30"
2002,Missouri,"7,848.45","7,327.92","15,176.36","5,211.44","5,005.83","10,217.28"
